,Not_purchased,Purchased
245,0.7964912,0.2035088
246,0.8088467,0.1911533
247,0.80732954,0.19267045
248,0.8088467,0.1911533
249,0.8088467,0.1911533
250,0.80574226,0.19425777
251,0.8088467,0.1911533
252,0.8088467,0.1911533
253,0.41420197,0.585798
254,0.8088467,0.1911533
255,0.8088467,0.1911533
256,0.8088467,0.1911533
257,0.6830928,0.31690723
258,0.8088467,0.1911533
259,0.8088467,0.1911533
260,0.5406301,0.4593699
261,0.80574226,0.19425777
262,0.80732954,0.19267045
263,0.8088467,0.1911533
264,0.8088467,0.1911533
265,0.6846373,0.31536266
266,0.8088467,0.1911533
267,0.8088467,0.1911533
268,0.8088467,0.1911533
269,0.8088467,0.1911533
270,0.8088467,0.1911533
271,0.5338965,0.4661035
272,0.80732954,0.19267045
273,0.7620447,0.23795526
274,0.80732954,0.19267045
275,0.7862563,0.21374369
276,0.8088467,0.1911533
277,0.6846373,0.31536266
278,0.80732954,0.19267045
279,0.80732954,0.19267045
280,0.80732954,0.19267045
281,0.8088467,0.1911533
282,0.8088467,0.1911533
283,0.8088467,0.1911533
284,0.8088467,0.1911533
285,0.8088467,0.1911533
286,0.7906553,0.2093447
287,0.8088467,0.1911533
288,0.8088467,0.1911533
289,0.80732954,0.19267045
290,0.4899869,0.5100131
291,0.8088467,0.1911533
292,0.8088467,0.1911533
293,0.80732954,0.19267045
294,0.80732954,0.19267045
295,0.7276789,0.27232113
296,0.8088467,0.1911533
297,0.80732954,0.19267045
298,0.80732954,0.19267045
299,0.8088467,0.1911533
300,0.8088467,0.1911533
301,0.8088467,0.1911533
302,0.5525937,0.44740632
303,0.80732954,0.19267045
304,0.74608994,0.25391006
305,0.73388773,0.26611227
306,0.80732954,0.19267045
307,0.4507773,0.5492227
308,0.80732954,0.19267045
309,0.8088467,0.1911533
310,0.7964912,0.2035088
311,0.80732954,0.19267045
312,0.8088467,0.1911533
313,0.8088467,0.1911533
314,0.8088467,0.1911533
315,0.8088467,0.1911533
316,0.6846373,0.31536266
317,0.8088467,0.1911533
318,0.8088467,0.1911533
319,0.74608994,0.25391006
320,0.80732954,0.19267045
321,0.8088467,0.1911533
322,0.80732954,0.19267045
323,0.8088467,0.1911533
324,0.4822322,0.5177678
325,0.80732954,0.19267045
326,0.7964912,0.2035088
327,0.80732954,0.19267045
328,0.5602555,0.43974447
329,0.8088467,0.1911533
330,0.8088467,0.1911533
331,0.47526366,0.52473634
332,0.80732954,0.19267045
333,0.80732954,0.19267045
334,0.80732954,0.19267045
335,0.80732954,0.19267045
336,0.8088467,0.1911533
337,0.6846373,0.31536266
338,0.8088467,0.1911533
339,0.80574226,0.19425777
340,0.8088467,0.1911533
341,0.45285338,0.5471466
342,0.80574226,0.19425777
343,0.48353517,0.5164648
344,0.7964912,0.2035088
345,0.80732954,0.19267045
346,0.8088467,0.1911533
347,0.80732954,0.19267045
348,0.8088467,0.1911533
349,0.7964912,0.2035088
350,0.8088467,0.1911533
351,0.49458063,0.5054194
352,0.8088467,0.1911533
353,0.8088467,0.1911533
354,0.8088467,0.1911533
355,0.80574226,0.19425777
356,0.80732954,0.19267045
357,0.7191464,0.2808536
358,0.8088467,0.1911533
359,0.80732954,0.19267045
360,0.8088467,0.1911533
361,0.41133755,0.58866245
362,0.8088467,0.1911533
363,0.8088467,0.1911533
364,0.4507773,0.5492227
365,0.41420197,0.585798
366,0.8088467,0.1911533
367,0.8088467,0.1911533
368,0.80732954,0.19267045
369,0.5419257,0.45807427
370,0.80574226,0.19425777
371,0.8088467,0.1911533
372,0.80574226,0.19425777
373,0.8088467,0.1911533
374,0.8088467,0.1911533
375,0.80732954,0.19267045
376,0.8088467,0.1911533
377,0.80574226,0.19425777
378,0.8088467,0.1911533
379,0.79227,0.20773001
380,0.80732954,0.19267045
381,0.7964912,0.2035088
382,0.80574226,0.19425777
383,0.8088467,0.1911533
384,0.80732954,0.19267045
385,0.80574226,0.19425777
