,UserID,cart,category,content,default,error,home,iroa,lorigreiner,mys,product,product-listing-category,product-listing-custom,product-listing-search,productNotFound,shoplive,signupcomplete,wishlist,conversion
31,1.3530809735626412e+18,0,0,0,6,0,4,0,0,0,9,0,0,0,0,0,0,0,1
32,8.718726634732568e+17,0,0,0,0,0,3,0,0,0,0,1,0,7,0,0,0,0,0
33,5.569456530187182e+18,0,0,3,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0
34,9.114215645041903e+18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6.243181890901307e+18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,3.998875129478268e+18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,6.384382571615082e+18,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
38,6.881788139209115e+18,0,0,0,0,0,1,5,0,0,3,1,0,0,0,0,0,0,0
39,3.9914314773172634e+18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,6.081137596387596e+18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
41,7.464105912532266e+18,2,0,0,1,0,2,19,0,0,6,0,0,0,0,0,0,0,0
42,4.167774905521114e+18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,5.618841055065188e+18,0,0,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0
44,8.349880741860882e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7.883945121083656e+18,1,0,0,0,0,3,7,0,0,7,0,0,0,0,0,0,0,0
46,5.130122374237191e+18,4,0,0,4,0,3,2,0,0,12,7,0,0,0,0,0,0,1
47,8.408744369687991e+18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
48,3.0075868710644183e+18,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0
49,7.887206737975079e+18,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0
50,1.9177070309247142e+18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
51,3.7483280803229215e+18,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
52,1.6920151662993413e+18,1,0,3,0,0,1,0,0,0,3,6,0,0,0,0,0,0,0
53,2.753013696793976e+18,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0
54,8.786656190136224e+18,0,0,0,4,0,4,0,0,0,2,11,0,0,0,0,0,0,0
55,7.248039652366924e+18,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
56,4.0457658436068424e+18,0,0,0,2,0,3,1,0,0,3,0,0,0,0,0,0,0,1
57,8.840308314712625e+18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,4.736663754095248e+18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
59,8.013559436453094e+18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
60,2.0039252346974572e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,3.421907935664301e+18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
62,2.7193021671582966e+18,0,0,0,0,0,1,2,0,0,10,2,0,0,0,0,0,0,0
63,7.220591949470386e+18,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
64,1.9200360600234166e+18,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
65,2.6137780968291927e+18,2,0,0,2,0,1,1,0,0,4,1,0,0,0,0,0,0,1
66,4.154895055009766e+18,1,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,1
67,2.0184510010930655e+18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,8.891838914568355e+18,1,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,1
69,8.497275260442639e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,6.600702499782001e+18,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0
71,6.053392756126042e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3.890387800681534e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,8.372627744759537e+18,2,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
74,9.923359117905274e+17,2,0,2,1,0,7,0,0,0,7,2,0,0,0,0,0,0,1
75,3.157178806786158e+18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,5.217173843847184e+18,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
77,6.044135933974983e+18,0,0,1,2,0,3,0,0,0,11,2,0,0,0,0,0,0,0
78,6.178004976567095e+18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
79,4.726134446323915e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,5.798237567077448e+17,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0
81,3.403234098717052e+18,0,0,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0
